title,city,locality,bhk,areaSqft,floor,totalFloors,ageYears,furnishedStatus,facing,propertyType,listingType,price,verified,hot,sellerName,sellerPhone
"Spacious 3BHK Builder Floor in JP Nagar","Bangalore","JP Nagar","3","1666","19","22","17","Furnished","South","Builder Floor","Rent","55795","true","true","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Villa in Rajajinagar","Bangalore","Rajajinagar","5","1887","15","23","21","Unfurnished","South-East","Villa","Buy","11238134","true","true","Priya Singh","+91-9765432109"
"Luxurious 4BHK Builder Floor in Electronic City","Bangalore","Electronic City","4","2147","19","28","16","Unfurnished","North","Builder Floor","Rent","47532","true","true","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Builder Floor in Whitefield","Bangalore","Whitefield","2","1174","1","6","9","Unfurnished","West","Builder Floor","Buy","7599374","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Studio in Hebbal","Bangalore","Hebbal","2","853","8","12","14","Furnished","West","Studio","Rent","36469","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Studio in Marathahalli","Bangalore","Marathahalli","4","1979","1","13","16","Unfurnished","North-East","Studio","Rent","50810","","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Independent House in Rajajinagar","Bangalore","Rajajinagar","1","756","8","16","24","Furnished","North","Independent House","Rent","20088","true","true","Priya Singh","+91-9765432109"
"Spacious 2BHK Builder Floor in Bannerghatta Road","Bangalore","Bannerghatta Road","2","1443","3","14","9","Semi-Furnished","North","Builder Floor","Buy","8729682","true","","Amit Patel","+91-9654321098"
"Luxurious 5BHK Builder Floor in Indiranagar","Bangalore","Indiranagar","5","1323","12","12","17","Semi-Furnished","North-East","Builder Floor","Rent","101713","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Villa in Koramangala","Bangalore","Koramangala","2","1164","8","19","17","Semi-Furnished","North-West","Villa","Buy","9758352","true","true","Amit Patel","+91-9654321098"
"Spacious 2BHK Builder Floor in Rajajinagar","Bangalore","Rajajinagar","2","806","19","33","8","Furnished","South","Builder Floor","Buy","7376513","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Builder Floor in Koramangala","Bangalore","Koramangala","3","1058","10","12","17","Unfurnished","East","Builder Floor","Rent","60488","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Villa in HSR Layout","Bangalore","HSR Layout","2","990","17","17","19","Furnished","East","Villa","Buy","7026050","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Villa in Whitefield","Bangalore","Whitefield","2","1019","1","15","14","Unfurnished","North-West","Villa","Buy","5665157","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Studio in Yelahanka","Bangalore","Yelahanka","2","1389","16","24","23","Furnished","North-West","Studio","Buy","7036893","","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Studio in Whitefield","Bangalore","Whitefield","4","2006","7","9","23","Semi-Furnished","South","Studio","Rent","59240","true","true","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Villa in Bannerghatta Road","Bangalore","Bannerghatta Road","1","611","20","20","17","Semi-Furnished","North","Villa","Rent","14349","","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Villa in HSR Layout","Bangalore","HSR Layout","4","1359","11","18","5","Furnished","North-East","Villa","Buy","12459605","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Studio in JP Nagar","Bangalore","JP Nagar","3","1083","15","19","6","Unfurnished","South","Studio","Buy","7863884","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Studio in Koramangala","Bangalore","Koramangala","2","713","10","25","18","Semi-Furnished","North","Studio","Rent","41124","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Independent House in Indiranagar","Bangalore","Indiranagar","2","1091","18","22","1","Furnished","North-West","Independent House","Buy","11817800","true","true","Amit Patel","+91-9654321098"
"Cozy 1BHK Apartment in Malleshwaram","Bangalore","Malleshwaram","1","683","7","8","3","Furnished","South-East","Apartment","Buy","6794758","true","true","Sunita Verma","+91-9543210987"
"Spacious 3BHK Independent House in Electronic City","Bangalore","Electronic City","3","1457","16","25","8","Unfurnished","South","Independent House","Buy","8219923","","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Independent House in Malleshwaram","Bangalore","Malleshwaram","4","1643","3","15","21","Unfurnished","North-West","Independent House","Rent","70569","true","true","Priya Singh","+91-9765432109"
"Spacious 3BHK Independent House in Jayanagar","Bangalore","Jayanagar","3","871","9","11","18","Furnished","North-West","Independent House","Buy","7200019","true","","Amit Patel","+91-9654321098"
